Title,Authors,Subjects,Bookshelves,Read online (web)
中國小說史略,"Lu, Xun",Chinese fiction -- History and criticism ; PL,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature,https://www.gutenberg.org/ebooks/25559.html.images
"Punch, Or the London Charivari Volume 107, November 24, 1894",Various,AP ; English wit and humor -- Periodicals,Browsing: Humour; Browsing: Literature,https://www.gutenberg.org/ebooks/46810.html.images
"Om det nord-tschudiska språket
Akademisk afhandling","Lönnrot, Elias",Veps language ; PH,Browsing: Language & Communication; Browsing: Literature,https://www.gutenberg.org/ebooks/60352.html.images
Kuningas Lear arolla,"Turgenev, Ivan Sergeevich",Russia -- Social life and customs -- Fiction ; PG,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/17975.html.images
Donald Ross of Heimra (Volume 1 of 3),"Black, William",Scotland -- Social life and customs -- Fiction ; PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/43052.html.images
"Els Deu Mil
And Vida D'artaxerxes, Per Plutarc",Xenophon ; Plutarch,"Cyrus, the Younger, approximately 423 B.C.-401 B.C. ; Greece -- History -- Expedition of Cyrus, 401 B.C. ; Iran -- History -- To 640 ; Artaxerxes I, King of Persia, -425 B.C. or 424 B.C. ; PA",Browsing: History - European; Browsing: History - General,https://www.gutenberg.org/ebooks/19664.html.images
Demetrius: A Play,"Schiller, Friedrich",Drama ; PT,Browsing: Literature,https://www.gutenberg.org/ebooks/6790.html.images
Animated cartoons,"Lutz, Edwin George",NC ; Animated films ; Animation (Cinematography),Browsing: Art & Photography; Browsing: Performing Arts/Film,https://www.gutenberg.org/ebooks/73455.html.images
"Celebrated Travels and Travellers, Part 2.
The Great Navigators of the Eighteenth Century","Verne, Jules",Voyages and travels ; Explorers ; G ; Discoveries in geography,Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/25784.html.images
"Weird Tales, Volume 1, Number 2, April, 1923: The unique magazine",Various,"Fantasy literature, American -- Periodicals ; Fantasy literature, English -- Periodicals ; Horror tales, English -- Periodicals ; PS ; Adventure stories -- Periodicals ; Horror tales, American -- Periodicals ; PR",Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/69606.html.images
Bookplates,"Almack, Edward",Z ; Bookplates,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other,https://www.gutenberg.org/ebooks/60858.html.images
